year,month,sector,outstanding_loans,interest_rate
2018,1,Industry,10148.7631,11.0740636689017
2018,1,Agriculture,20951.6426,17.987201359858997
2018,1,Transport,1829.7625,17.616822546642002
2018,1,Сommunication,140.59120000000001,11.537664092773898
2018,1,Trade,30869.5058,14.568942107845498
2018,1,Procurement and processing,877.4909,8.24115240397365
2018,1,Construction ,7869.557199999999,13.244406831428797
2018,1,Mortgage,10384.9626,14.6735446390534
2018,1,Consumer loans,10608.0909,26.459176989329897
2018,1,Social services,3809.6383,12.968106897444798
2018,1,Other ,9563.2516,13.4212366564736
2018,2,Industry,10193.6268,11.0236889949709
2018,2,Agriculture,20590.8931,17.996011334714797
2018,2,Transport,1799.6173000000001,17.605554518174497
2018,2,Сommunication,139.02870000000001,11.546014743718398
2018,2,Trade,31807.6418,14.379355880321798
2018,2,Procurement and processing,860.8707,8.24825808916484
2018,2,Construction ,7846.0875,13.1356671094988
2018,2,Mortgage,10580.060999999998,14.555274724502999
2018,2,Consumer loans,10601.906500000001,26.307887741322798
2018,2,Social services,3884.2734,12.8900150403934
2018,2,Other ,9581.917300000001,13.307865517165299
2018,3,Industry,10141.1864,11.004680592105098
2018,3,Agriculture,21321.3158,17.7459950453433
2018,3,Transport,1899.0698000000002,17.1514409333454
2018,3,Сommunication,135.9571,11.5402004014502
2018,3,Trade,32835.9468,14.1801237744118
2018,3,Procurement and processing,868.1361,8.22048937257649
2018,3,Construction ,8172.989600000001,12.8191474002365
2018,3,Mortgage,10645.339199999999,14.450459681171997
2018,3,Consumer loans,10718.9276,26.2357318466261
2018,3,Social services,4029.6084,12.8147262662049
2018,3,Other ,9878.6272,13.1589424050743
2018,4,Industry,10345.4435,10.9434400439189
2018,4,Agriculture,23265.329500000003,17.140891058001102
2018,4,Transport,1948.5038,17.0361283585898
2018,4,Сommunication,150.0387,11.4913300168557
2018,4,Trade,33742.1069,14.154438888106299
2018,4,Procurement and processing,891.7171000000001,8.05852193930115
2018,4,Construction ,8260.979000000001,12.8020057991916
2018,4,Mortgage,10836.3986,14.3698144684342
