region,sector,year,quarter,loan_amount
Bishkek,Industry,2018,1,8210.739981637827
Bishkek,"Agriculture, procurement and  processing",2018,1,2162.3576035052783
Bishkek,Trade,2018,1,23417.60847016373
Bishkek,Construction,2018,1,6679.568582440083
Bishkek,Mortgage,2018,1,6698.826270504911
Bishkek,Individuals,2018,1,3932.263692430772
Bishkek,Other loans,2018,1,11197.08507210667
Bishkek,Industry,2018,2,8562.855475418019
Bishkek,"Agriculture, procurement and  processing",2018,2,2818.491339825751
Bishkek,Trade,2018,2,24309.018816378197
Bishkek,Construction,2018,2,7249.138891079087
Bishkek,Mortgage,2018,2,6865.648012960759
Bishkek,Individuals,2018,2,4213.554328968517
Bishkek,Other loans,2018,2,12137.807309133821
Bishkek,Industry,2018,3,9072.425665176872
Bishkek,"Agriculture, procurement and  processing",2018,3,2843.9362990825625
Bishkek,Trade,2018,3,24056.871008986363
Bishkek,Construction,2018,3,8399.839555614626
Bishkek,Mortgage,2018,3,7105.722152546516
Bishkek,Individuals,2018,3,4694.7351866052495
Bishkek,Other loans,2018,3,13085.415420162644
Bishkek,Industry,2018,4,9408.677339019998
Bishkek,"Agriculture, procurement and  processing",2018,4,2811.0989374603937
Bishkek,Trade,2018,4,24467.758041184832
Bishkek,Construction,2018,4,9188.369055255142
Bishkek,Mortgage,2018,4,7687.853456791378
Bishkek,Individuals,2018,4,5039.066529119825
Bishkek,Other loans,2018,4,13756.004476635731
Bishkek,Industry,2019,1,9203.172233969299
Bishkek,"Agriculture, procurement and  processing",2019,1,2938.505462440532
Bishkek,Trade,2019,1,25270.64487020467
Bishkek,Construction,2019,1,9738.722669662155
Bishkek,Mortgage,2019,1,7809.870184289994
Bishkek,Individuals,2019,1,5015.425059558444
Bishkek,Other loans,2019,1,14019.587714029636
Bishkek,Industry,2019,2,9139.62491304177
Bishkek,"Agriculture, procurement and  processing",2019,2,3243.9367041723144
Bishkek,Trade,2019,2,25473.803461428768
Bishkek,Construction,2019,2,10043.390774041814
Bishkek,Mortgage,2019,2,8236.915731818486
Bishkek,Individuals,2019,2,5420.459659671037
Bishkek,Other loans,2019,2,14628.801741600351
Bishkek,Industry,2019,3,9015.425342483642
Bishkek,"Agriculture, procurement and  processing",2019,3,3306.4028039039977
Bishkek,Trade,2019,3,25462.416508622297
Bishkek,Construction,2019,3,10332.601524385063
Bishkek,Mortgage,2019,3,8843.44057655563
Bishkek,Individuals,2019,3,5945.51169002109
Bishkek,Other loans,2019,3,15234.719851940567
Bishkek,Industry,2019,4,9106.118884374686
Bishkek,"Agriculture, procurement and  processing",2019,4,3558.9643842977825
Bishkek,Trade,2019,4,25775.190427223093
Bishkek,Construction,2019,4,9813.972684053255
Bishkek,Mortgage,2019,4,9596.24732068283
Bishkek,Individuals,2019,4,6171.797896399272
Bishkek,Other loans,2019,4,15956.185458213531
Bishkek,Industry,2020,1,9882.004243166799
Bishkek,"Agriculture, procurement and  processing",2020,1,3542.990889285593
Bishkek,Trade,2020,1,28243.393091605187
Bishkek,Construction,2020,1,10420.804677416745
Bishkek,Mortgage,2020,1,9999.4044477808
Bishkek,Individuals,2020,1,6218.878619638568
Bishkek,Other loans,2020,1,17838.06034556742
Bishkek,Industry,2020,2,9807.365493046484
Bishkek,"Agriculture, procurement and  processing",2020,2,3629.7710457800836
Bishkek,Trade,2020,2,26644.657279103445
Bishkek,Construction,2020,2,9709.066611275906
Bishkek,Mortgage,2020,2,9887.214265886418
Bishkek,Individuals,2020,2,6015.882977651069
Bishkek,Other loans,2020,2,18103.663376905246
Bishkek,Industry,2020,3,10530.38716915895
Bishkek,"Agriculture, procurement and  processing",2020,3,3739.482800230012
Bishkek,Trade,2020,3,27547.414592948808
Bishkek,Construction,2020,3,10276.045924021739
Bishkek,Mortgage,2020,3,10447.549934553666
Bishkek,Individuals,2020,3,6401.109557807909
Bishkek,Other loans,2020,3,18777.127323228484
Bishkek,Industry,2020,4,10960.368698478604
Bishkek,"Agriculture, procurement and  processing",2020,4,3709.1334143815825
Bishkek,Trade,2020,4,29436.46101981077
Bishkek,Construction,2020,4,10144.423105004347
Bishkek,Mortgage,2020,4,10986.921904574468
Bishkek,Individuals,2020,4,6637.687164199275
Bishkek,Other loans,2020,4,19241.839476145615
Bishkek,Industry,2021,1,10942.837552627765
Bishkek,"Agriculture, procurement and  processing",2021,1,3801.920349110312
Bishkek,Trade,2021,1,31921.527285154687
Bishkek,Construction,2021,1,9975.15898666781
Bishkek,Mortgage,2021,1,10850.71271867805
Bishkek,Individuals,2021,1,6808.647489628396
Bishkek,Other loans,2021,1,19459.95384541592
Bishkek,Industry,2021,2,10661.753671464417
Bishkek,"Agriculture, procurement and  processing",2021,2,4139.768439990006
Bishkek,Trade,2021,2,33044.31225669284
Bishkek,Construction,2021,2,9806.593809488957
Bishkek,Mortgage,2021,2,11057.658072625798
Bishkek,Individuals,2021,2,7379.108381359533
